2021-12-05 21:09:49,186 [1] DEBUG GTHardware.Cameras.Thorlabs.ThorlabCamera - IsConnected: Attempting to retrieve list of connected UC480 cameras...
2021-12-05 21:09:49,451 [1] INFO  GTHardware.Cameras.Thorlabs.ThorlabCamera - IsConnected: Detected no UC480 camera(s) - ThorlabCamera.IsConnected will return 'false', i.e. No Thorlabs detected
2021-12-05 21:09:50,849 [1] INFO  GazeTrackingLibrary.Tracker - Constructing Tracker...
2021-12-05 21:09:51,008 [1] INFO  GazeTrackingLibrary.Tracker - Looking up LoggingEnabled in FileSettings
2021-12-05 21:09:51,010 [1] INFO  GazeTrackingLibrary.Tracker - Setting RecalibrationAvailableHandler
2021-12-05 21:09:51,011 [1] INFO  GazeTrackingLibrary.Tracker - Setting GTHardware device OnImage EventHandler
2021-12-05 21:09:51,012 [1] INFO  GazeTrackingLibrary.Tracker - Completed constructing Tracker
2021-12-05 21:09:53,204 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
2021-12-05 21:09:53,604 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
2021-12-05 21:09:56,642 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
2021-12-05 21:09:56,847 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
2021-12-05 21:09:57,237 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
2021-12-05 21:09:57,652 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
2021-12-05 21:09:57,859 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
2021-12-05 21:09:58,029 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
2021-12-05 21:09:58,256 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
2021-12-05 21:09:58,459 [11] DEBUG GazeTrackingLibrary.Detection.Eye.Eyetracker - DoEyeRegionExtraction: No eyes detected from DetectHaarCascade(...) call, returning false
